Sex;Language;Education;Age;Wages
Male;English;13;28;6.71
Female;English;12;34;20.79
Female;English;9;59;15.5
Female;English;12;49;8.75
Male;English;14;47;20.99
Male;English;10;31;15.5
Male;English;14;19;8.2
Female;English;13;27;11
Male;English;12.5;30;15
Female;English;10;52;15.5
Female;English;12;51;8
Female;English;10.5;45;14.5
Female;English;13;31;9
Male;English;8.5;51;14.4
Male;Other;5;79;15.5
Female;Other;12;60;15.5
Female;French;11;53;12
Female;English;8;55;15.5
Female;English;15.5;53;15.5
Male;English;14.3;18;7
Female;Other;6;73;15.5
Female;English;13;60;15.5
Female;English;9;69;15.5
Male;English;12;18;15.5
Female;English;12.1;34;10
Male;English;15.1;56;12.97
Male;English;14;19;7
Female;English;14;33;15.5
Male;English;11;43;15.5
Female;English;12;18;8.89
Male;Other;9;41;21.57
Female;English;16;74;15.5
Female;English;12.5;55;10.4
Male;Other;4;62;15.5
Male;French;12.5;40;20.61
Male;Other;11;41;11.11
Female;English;7;50;15.5
Female;English;8;79;15.5
Male;English;16;86;15.5
Male;Other;5;83;15.5
Male;English;14;55;22.13
Female;English;8;72;15.5
Male;English;17;30;13.5
Female;English;12.5;29;13.29
Female;English;12;53;15.5
Female;Other;12;50;15.5
Female;English;8;64;15.5
Male;English;19.1;32;21.56
Female;English;12.5;30;15.5
Male;Other;10;16;6.75
Female;English;14.1;23;15.5
Female;French;8;62;15.5
Female;English;14;68;9
Male;English;14.6;35;15.5
Female;Other;14.8;25;13
Female;English;12;45;15.5
Male;English;11;17;6.48
Male;English;17;67;15.5
Female;English;10.5;39;13.01
Male;Other;11;51;15.5
Male;English;17;49;19.17
Male;English;13;32;15.5
Female;English;11.5;83;15.5
Male;English;12.5;42;15.5
Male;French;7;60;15.5
Female;English;10;40;9.25
Female;English;18;41;21.39
Female;English;15;74;15.5
Female;English;13;67;15.5
Male;English;11;42;15.5
Male;English;10.5;37;15.5
Female;English;16.1;28;14.96
Female;English;11;55;15.5
Male;Other;13;37;12.55
Female;English;15.5;21;6.75
Male;English;11.8;21;10.56
Male;English;12.1;18;10.75
Female;English;10;72;15.5
Male;English;17;46;15.5
Female;English;10;62;15.5
Male;English;13;50;19.15
Female;English;11;32;15.5
Male;English;13.9;20;9.85
Male;English;12;31;13.12
Female;English;17;58;15
Male;French;13;38;14.85
Male;French;14;28;19.2
Female;English;11;63;7.31
Female;Other;12;33;13.88
Female;English;13.5;70;15.5
Female;English;10;16;15.5
Female;English;11;57;16
Male;English;11.6;19;7.52
Female;Other;0;80;15.5
Female;English;12.5;26;12.84
Female;English;12.5;43;6.42
Male;English;12;31;17.58
Male;Other;5;65;15.07
Female;English;11;35;15.5
Male;English;8;64;15.5
Female;English;12.5;20;6.06
Male;English;12;34;17.68
Female;English;13;31;9.22
Male;English;11;27;7.6
Male;English;8;53;13.29
Male;English;8;47;15.5
Male;English;14.6;19;7.2
Female;English;11;17;15.5
Male;English;12;36;15.5
Male;English;8;70;15.5
Male;English;15;47;15.5
Male;French;10;64;15.5
Male;Other;8;39;14.03
Male;English;20;40;12.3
Male;Other;13.1;41;15.5
Female;English;14;52;15.5
Male;English;13.6;24;21.5
Male;French;5;84;15.5
Female;English;11;19;9.4
Male;English;8;59;11.5
Female;English;14.5;22;5.92
Male;English;14;48;15.5
Female;English;10.5;26;15.5
Female;English;13.3;46;15.5
Female;English;12;31;15.5
Female;English;11;17;15.5
Female;English;8.5;71;15.5
Male;Other;12.5;79;15.5
Female;English;8.5;61;15.5
Female;English;8;68;15.5
Female;English;16.9;39;17.6
Male;French;6;65;12
Female;English;14.5;25;15.5
Male;English;16;32;22.19
Female;French;10;70;15.5
Male;English;10;16;15.5
Male;English;14;20;9
Female;English;17.4;45;12.83
Male;English;10;16;5.9
Female;English;10;20;15.5
Male;English;17.5;26;15.79
Female;English;17.1;25;15.5
Male;English;11;17;7.15
Male;English;12;41;21.15
Male;French;6;80;15.5
Male;English;15;38;15.5
Female;French;12.5;30;17.14
Male;English;12;71;15.5
Male;English;8;70;15.5
Male;English;11.5;34;19.68
Male;English;16;31;10
Female;Other;6;72;15.5
Female;English;16;20;7.66
Male;Other;6;62;15.5
Male;English;10;67;15.5
Female;English;8;71;15.5
Female;English;8;35;7
Male;French;9;55;14.23
Female;English;16.3;20;6.5
Female;English;13;48;15.5
Female;English;11.5;36;10.25
Female;English;13;49;15.5
Male;French;14;25;10.5
Male;English;19.1;25;8.92
Male;Other;12.5;56;15.5
Male;English;13;44;19.07
Male;English;6;79;15.5
Female;English;14.1;36;12
Male;English;13;86;15.5
Female;English;14;24;8.5
Male;English;10;69;15.5
Female;Other;12;36;19.67
Male;English;18.1;62;15.5
Male;English;8;84;15.5
Female;French;12;50;15.5
Female;English;13;28;15.5
Female;English;12;26;15.5
Female;English;10;48;15.5
Female;English;20;34;15.92
Male;English;18;59;15.5
Female;English;10;64;8.83
Female;English;18;25;16.46
Female;French;8;66;15.5
Male;English;10;56;18.24
Female;English;12.5;42;15.5
Female;English;14;37;12
Male;English;12;72;15.5
Female;English;12.5;27;12.8
Female;English;18.8;43;7.5
Female;English;10;57;18.19
Male;English;12;34;21.55
Female;French;16;52;7
Female;English;12;43;11.3
Male;English;18;38;9.58
Female;Other;12.5;36;15.5
Female;English;10;70;15.5
Male;French;8;67;15.5
Female;English;17.8;38;15.43
Female;English;12;68;15.5
Female;English;12;80;15.5
Female;English;9.5;70;15.5
Female;English;0;38;12.58
Female;English;12;84;15.5
Female;English;15;46;16.22
Female;English;5;72;15.5
Female;English;14.5;29;13.65
Female;English;13;29;15.5
Male;English;9;68;15.5
Female;English;17;30;16.8
Female;English;13;31;8.5
Female;English;10.5;56;15.5
Female;English;20;39;20.29
Female;French;16;24;15.5
Male;English;12;60;15.5
Male;English;12;30;7
Female;English;14.5;25;7.25
Female;English;16;49;14.75
Male;French;13.5;35;15.5
Female;English;17;40;17.45
Male;English;13;66;15.5
Female;English;16.5;46;16
Female;English;15.5;23;15.1
Female;Other;8;62;15.5
Male;English;10;27;9
Female;English;12.3;28;11.6
Male;French;14;46;15.5
Male;English;12;33;16.48
Male;English;13.5;59;15.5
Female;English;14;43;15.5
Male;English;9;66;15.5
Female;English;14;40;9.65
Female;English;11;67;15.5
Female;English;12.5;29;10.59
Female;English;12.5;74;15.5
Female;English;12;20;7.79
Male;Other;19;44;15.05
Female;English;13;19;6.5
Female;English;10.6;24;15.5
Male;Other;8;51;15.5
Female;English;20;36;21.33
Male;English;16;24;16.28
Male;English;12;18;7
Male;English;18;69;15.5
Male;Other;9;25;9.25
Male;English;13;19;7
Female;English;17;43;21.12
Male;English;10;81;15.5
Male;French;13;44;18
Female;Other;12;31;19.94
Female;English;12;62;21.43
Male;English;14;33;5.8
Male;English;10;72;15.5
Female;English;13;42;17.67
Female;English;13;43;16
Male;English;12;52;15.5
Male;English;13;38;19.58
Male;English;9;64;15.5
Male;English;14;49;15.65
Male;English;14;23;15.42
Female;English;13;47;7
Female;English;9.5;34;11.27
Male;English;11;35;15
Female;Other;8;61;15.5
Male;English;8;80;15.5
Female;English;8;50;7
Female;English;9;41;15.5
Male;Other;5.5;29;11.97
Male;Other;9;30;9
Female;Other;5;52;15.5
Male;English;13;37;15.6
Female;English;8;73;15.5
Male;Other;4;54;11
Female;French;8;52;15.5
Male;English;12;35;11.25
Male;English;14;37;14.2
Male;English;10;45;15.5
Male;English;13;20;6.85
Male;English;12;30;6.7
Female;English;10;17;6.62
Female;English;12.5;41;15.5
Female;English;14.5;51;15.5
Male;English;19;50;22.27
Female;English;8;86;15.5
Male;English;14.5;23;6.36
Female;Other;18;42;15.5
Female;French;9;55;15.5
Female;English;13;30;12.86
Male;English;14.5;36;18.29
Female;English;16;28;13.6
Female;English;17;28;18.25
Female;French;9;32;16.62
Female;English;18;24;15.5
Female;English;7;58;15.5
Female;English;10.1;17;6.35
Male;Other;15;48;15.5
Male;English;12.5;42;15.79
Male;Other;13;37;21.81
Male;English;13;22;15.5
Female;English;13;18;7.19
Male;Other;6.5;68;15.5
Female;English;11;41;19
Male;English;12;84;15.5
Female;English;8;18;15.5
Male;English;16;44;13.07
Female;English;12;48;7
Female;French;12;22;15.5
Female;English;12.5;24;13.21
Female;Other;10.5;56;11.25
Female;English;8;62;15.5
Female;English;14;45;7
Male;English;12.3;19;9.1
Female;English;13;81;15.5
Male;Other;8;55;15.5
Male;Other;12;35;15.5
Female;English;17.1;32;20.1
Female;English;18;31;13.91
Male;English;18;42;18.72
Female;English;13;27;6.83
Male;English;16.2;26;20.91
Female;English;12;30;14.85
Female;English;14;60;15.5
Female;English;12.5;52;14.29
Female;English;13;86;15.5
Female;English;10.5;32;15.5
Male;English;7;60;15.5
Female;English;16.1;20;8
Male;English;18;37;14
Male;English;13;23;8
Female;English;12;53;12
Male;English;13.5;25;15.5
Male;English;17;34;17.43
Male;Other;18;81;15.5
Female;English;11;66;9.89
Female;English;12;57;15.5
Female;English;17;24;9.56
Female;English;12;51;12.13
Female;Other;8;73;15.5
Male;French;10;65;15.5
Male;Other;12;32;15
Female;English;9.5;66;15.5
Male;English;13;45;17.9
Female;Other;12.5;35;12.55
Female;English;14;26;10
Female;English;14;37;9.83
Female;English;8;60;15.5
Female;English;9;69;15.5
Female;Other;0;88;15.5
Female;Other;16;41;22.23
Male;English;18.1;43;19.2
Male;English;12;41;7.25
Female;English;13.5;41;12
Male;English;12;64;15.5
Female;Other;12;18;15.5
Female;French;14;29;9.76
Male;English;11;48;21.6
Male;Other;4;33;15.5
Female;English;12;31;16.5
Male;Other;12.5;67;15.5
Male;English;17;28;15
Male;English;18.5;27;19.2
Male;English;16.3;34;15.84
Female;English;10.2;19;15.5
Female;English;12.5;49;15.5
Male;English;12;34;15.5
Male;French;8.5;48;11.2
Female;English;12;66;15.5
Male;English;15.5;23;9
Female;Other;10;54;9.6
Female;English;17;38;14
Male;Other;0;88;15.5
Male;English;13;56;15.5
Female;Other;13.3;37;15.5
Male;English;13;33;20
Female;English;17;57;8
Female;English;12;36;7.49
Female;Other;13.3;19;8.18
Male;English;9;17;15.5
Male;English;13;32;18.77
Female;Other;18;44;20.76
Female;English;8;63;15.5
Female;English;16;38;10
Female;English;12;46;15.5
Male;English;10;32;15.5
Female;Other;9;38;7.1
Female;English;13;80;15.5
Female;Other;18;29;13
Female;English;17;41;18.74
Female;English;12;55;11.26
Female;English;15;72;15.5
Female;Other;12;35;15.5
Female;English;13;82;15.5
Female;English;12;20;7.25
Female;English;11;35;12.5
Female;French;12.3;35;8.8
Male;English;16;56;15.5
Female;Other;8;83;15.5
Female;English;17;62;14.4
Male;English;9;37;15.5
Female;English;8;70;15.5
Female;Other;5;49;15.5
Female;English;12.9;18;15.5
Male;English;17;44;9
Female;English;13.1;49;21.6
Female;French;12;47;12.79
Male;English;11;64;15.36
Male;English;10;68;15.5
Female;Other;16;53;14.49
Male;English;15;33;14.05
Male;French;7.6;39;16.42
Female;Other;13.1;22;8.97
Female;English;11.2;60;8
Female;English;16.1;36;13.5
Female;English;11;55;15.5
Female;Other;8;57;15.5
Male;English;20;29;12
Female;English;12.2;23;10.25
Female;English;10;45;15.5
Female;Other;12;46;15.5
Male;English;10;63;15.5
Female;English;15;55;15.5
Male;English;17.5;34;11.32
Male;English;12.5;33;15.77
Female;English;12.5;26;15.5
Male;English;12.5;53;15.5
Male;English;14;35;10.87
Female;English;8;85;15.5
Female;English;10;38;11.29
Female;English;12;33;15.5
Male;English;13;20;7.41
Male;English;13;32;15
Female;French;12;23;10.05
Female;English;15;23;15.5
Male;English;16;27;7.08
Male;English;16.1;37;18.28
Male;English;12.5;16;7
Female;Other;11;68;15.5
Male;English;13.5;27;11.5
Female;English;15;46;16
Female;English;15.5;25;15
Female;English;13;47;12
Female;English;10;51;8.13
Male;English;8;53;19
Male;Other;8;54;15.5
Female;English;18.5;26;7
Female;English;13;53;15.5
Male;English;8;20;15.5
Female;French;13;70;15.5
Male;English;8;74;15.5
Female;English;12;55;8.61
Female;French;10.5;28;5.93
Female;English;12.5;71;15.5
Female;English;11;37;15.5
Male;English;17.4;43;19.75
Female;English;17;23;7.2
Female;English;10.6;38;13.44
Female;English;12;50;15.5
Female;English;12;35;7.12
Female;English;17;41;9.14
Female;Other;16;38;17.88
Male;English;15;27;18.75
Female;English;12.5;18;15.5
Female;English;11;69;15.5
Female;English;17;39;20.5
Male;English;9.5;72;15.5
Female;Other;14;37;15.5
Male;English;13;55;15.5
Female;English;12.6;19;6.75
Female;English;7;77;15.5
Female;English;15;74;15.5
Female;English;10;49;15.5
Female;English;12;34;15.5
Male;English;10;16;15.5
Male;English;12;24;15.5
Female;English;11.1;33;9.05
Female;English;11;17;7
Female;English;9;37;11.5
Male;English;10;16;15.5
Female;French;10;34;11
Male;English;11;86;15.5
Male;Other;0;49;10.81
Male;English;12.5;20;10.75
Male;Other;13;40;15.5
Female;English;13;20;15.5
Female;English;11.5;42;15.5
Male;English;12;79;15.5
Male;English;11;19;6.7
Male;English;10;76;15.5
Female;English;12;78;15.5
Female;English;12;61;10.2
Male;English;14;21;15.5
Male;English;12;46;15.5
Male;English;12.1;26;16.3
Male;English;12;51;18.39
Male;English;10;34;15.5
Female;English;9;56;15.5
Female;French;14;35;15.5
Female;English;12.5;44;16
Female;English;12.6;36;14.5
Male;English;9;88;15.5
Female;English;8;24;15.5
Male;English;12;32;19.18
Male;English;8;74;15.5
Female;English;11;39;8
Male;English;12;37;13.68
Female;English;18;44;15.5
Male;Other;12;32;15.5
Male;English;14;31;15.5
Male;English;15;24;15.5
Female;Other;12.5;49;9.42
Female;Other;11;45;15.5
Male;English;8;69;15.5
Female;English;13.5;48;15.5
Male;English;15;37;21.23
Female;English;8.2;32;15.5
Female;English;16;59;15.5
Female;English;13;43;15.5
Male;English;12.5;41;16
Male;English;13.5;34;15.5
Female;English;10;54;15.5
Male;English;13;47;15.5
Male;English;14.6;20;15.5
Female;English;14;32;17.07
Female;French;12;40;15.5
Male;English;11;17;15.5
Male;French;14;42;20.1
Female;French;12;50;18.19
Female;English;13;37;8
Female;English;7;50;15.5
Male;English;13;23;7
Female;French;6.9;56;15.5
Female;English;12;59;15.5
Female;English;9;26;15.5
Male;English;10;57;15.5
Male;English;13;40;15.5
Male;English;9;61;17.59
Female;English;13;47;15.5
Male;English;12.3;47;15.5
Male;English;14.1;19;7
Female;French;17;56;15.5
Male;English;11;45;15.36
Female;English;13.5;70;15.5
Male;English;15;37;15.5
Male;English;8;64;14
Male;English;11;55;15.5
Male;English;13;34;15
Female;English;14.1;29;13.59
Male;English;16.5;29;15.5
Male;Other;8;70;15.5
Female;English;20;87;15.5
Male;Other;10;47;15.5
Female;English;10;17;9.6
Female;English;10;53;15.5
Male;English;11.5;34;17
Female;Other;3;62;9.5
Female;French;12;43;17.5
Male;French;13;34;17.81
Male;English;13.8;21;7.16
Female;Other;15;21;15.5
Female;English;11;21;15.5
Female;English;13;64;15
Female;English;12.5;53;9.65
Male;English;15;30;18.04
Male;English;17;74;15.5
Male;English;9.5;33;15.5
Male;English;12;37;15.5
Female;English;12;72;15.5
Female;English;12;41;15.36
Female;English;13;47;19.91
Male;Other;7;38;12
Female;Other;13;62;15.5
Male;English;15;50;15.5
Male;English;11;18;7.2
Male;English;15;22;13
Female;Other;9.5;27;7
Female;English;8;77;15.5
Male;English;15;24;12.56
Female;English;14;26;15.5
Female;Other;8.5;71;15.5
Male;Other;16;35;15.5
Female;French;12.5;28;10.28
Female;English;14;23;15.5
Female;English;12.5;44;10.39
Male;English;15;45;15.5
Male;French;11;37;15.5
Male;English;12;71;15.5
Female;French;7;54;6.44
Male;Other;12.5;75;15.5
Female;English;11;61;15.5
Male;English;16.5;38;10
Male;Other;8;68;15.5
Male;French;12;70;15.5
Female;English;10.5;37;13.49
Male;English;13;19;5.85
Male;English;12.7;43;22.7
Male;English;19;42;13.07
Male;English;16;39;15.5
Female;French;6;57;6.7
Male;English;12.5;45;15.5
Male;English;10.9;22;15.5
Female;English;16;47;15.5
Male;English;16;69;15.5
Male;English;19.2;47;15.5
Female;English;8;69;15.5
Female;English;13;19;7
Female;English;15;78;15.5
Female;French;18;66;15.5
Female;French;11;38;20.48
Female;English;13;54;7.75
Male;English;12.6;20;9.18
Female;English;13;20;7.92
Male;English;10;17;15.5
Female;English;18;41;15.5
Female;English;12;76;15.5
Female;English;10;85;15.5
Female;English;16;29;18.74
Female;English;9;61;14.04
Female;English;13;40;14.88
Female;English;9;57;7.6
Female;English;15;24;7.68
Female;Other;10.5;53;15.5
Female;Other;8;54;15.5
Female;English;11;69;15.5
Female;French;16;24;6.9
Male;English;9;81;15.5
Female;Other;18;55;15.5
Male;English;18;55;15.5
Female;English;11;34;8.75
Female;English;12.5;32;10.96
Female;English;19;41;13.73
Male;English;9;32;15.5
Female;French;12;54;12.21
Male;French;11.5;51;18.24
Male;English;12.5;55;15.5
Female;English;16;63;15.5
Female;Other;12;34;10
Male;French;12;38;18.54
Female;English;12.5;51;15.5
Male;Other;10.5;57;15.5
Female;French;10;44;15.5
Male;French;13.3;41;15.5
Female;English;12;23;14.34
Female;Other;8;70;15.5
Female;English;10;16;6.73
Female;English;9;57;7.85
Male;English;13;28;15.5
Male;English;14;19;6.94
Female;English;5;64;15.5
Female;English;12.7;56;14.07
Female;English;8.5;18;15.5
Male;English;9.5;56;15.5
Female;English;12.5;19;7
Male;English;8;61;15.5
Female;English;14;80;15.5
Male;English;12;36;12
Female;English;14;43;8
Female;English;9;55;9.49
Female;English;13;56;15.04
Female;English;11.5;85;15.5
Female;English;8;68;15.5
Male;English;9;46;15.5
Female;English;12.6;42;16.9
Male;English;13;38;15.5
Female;English;12;29;8.05
Female;English;14.6;31;15.5
Male;English;12.5;29;13.76
Male;English;8;66;15.5
Male;English;15;29;10
Female;Other;16;30;19.2
Male;English;8;89;15.5
Male;Other;19;49;15.5
Female;French;10;49;15.5
Female;English;12;34;15.5
Female;French;12;18;15.5
Female;English;12;39;15.5
Male;English;12;51;11.36
Male;English;12.5;37;16.48
Female;English;19;56;15.5
Female;English;16;32;18.94
Male;English;11;21;9.43
Female;English;12;45;18.21
Female;English;12.8;45;15.5
Female;Other;13.8;39;20.84
Male;English;10.5;80;15.5
Male;Other;5;28;15.5
Male;French;10;50;15.5
Female;English;8;65;15.5
Female;Other;10.5;45;15.87
Female;English;11;18;6.7
Male;English;9;70;15.5
Male;English;8;29;12
Female;English;13.8;20;7
Male;Other;12.1;51;15.5
Female;English;12;61;7.89
Male;English;7;77;15.5
Female;Other;11;26;15.5
Male;English;16;58;15.5
Male;English;12;18;9.82
Male;English;20;43;6.7
Female;English;15.5;41;15.5
Female;English;10;80;15.5
Male;English;10;22;15.5
Female;English;6;58;15.5
Male;English;17;43;15.5
Male;English;12;25;7
Male;English;15;26;18
Male;English;12;36;20
Female;English;12.6;20;6.85
Male;French;11;33;15.85
Female;English;8;65;15.5
Male;English;12.5;36;21.91
Female;Other;5;73;15.5
Female;English;12;68;15.5
Male;English;14;76;15.5
Female;French;12.7;38;7.48
Male;English;10;26;15.5
Female;English;9;89;15.5
Female;English;7;70;15.5
Female;English;9;78;15.5
Female;English;11;82;15.5
Female;English;8;48;15.5
Female;Other;5;62;7.67
Male;Other;10;57;13.88
Male;Other;5;58;17.44
Male;English;10.5;58;14.05
Female;English;12;56;13.54
Male;French;12.5;63;19.86
Male;English;10.3;23;15.5
Male;English;16.5;26;18.72
Male;French;8;58;15.5
Male;English;10;67;15.5
Male;Other;16.6;37;15.5
Male;English;16;29;21.6
Male;English;12.5;27;18.35
Female;English;10.5;32;8.26
Female;English;12;40;20.85
Male;English;12;30;12
Female;English;10;53;14.36
Male;English;18;35;12.96
Male;English;14;40;17
Male;English;9.5;73;15.5
Male;English;16;56;15.5
Female;English;10.6;17;6.46
Male;English;12;18;9.34
Female;French;15;64;15.5
Male;English;9;46;15.5
Male;Other;13;18;15.5
Male;English;16;29;15.5
Male;English;12.8;37;15.51
Male;English;12;35;19
Male;English;9;69;15.5
Female;English;12;42;8.5
Female;English;12;71;15.5
Female;English;13;46;8
Male;English;17;58;20.45
Female;Other;14;46;18.87
Female;English;12;50;15.5
Male;English;12;26;10
Female;Other;12;52;15.5
Female;English;13.7;31;12.29
Male;English;17;45;15.5
Female;English;13;48;14.28
Female;English;12.5;42;9
Male;English;10;45;19.33
Female;English;13.4;42;10.56
Male;English;13;49;21.44
Male;English;18;22;7
Male;Other;12;51;16.5
Female;English;8;67;15.5
Female;Other;15;48;15.5
Male;Other;13.5;72;15.5
Female;Other;5;65;15.5
Male;English;14;63;15.5
Male;English;19.5;24;18.9
Female;English;12;35;15.5
Male;English;10;35;15.75
Female;Other;7;53;15.5
Male;English;16;28;13.21
Male;English;9;55;15.5
Female;English;15;27;17.1
Male;English;14;44;16.08
Male;English;10;41;15.65
Male;French;19;32;13.13
Male;French;13.6;28;15.52
Female;English;0;78;15.5
Male;English;11;45;15.5
Male;English;10;68;15.5
Male;French;12;61;8
Male;Other;8;67;15.5
Female;English;10;44;10.85
Male;English;10;51;15.5
Female;English;16;22;12.31
Male;English;10;41;12.81
Female;English;18;24;21
Male;English;12;33;16.12
Male;English;13;43;15.5
Male;English;12.7;33;21.6
Female;English;6;58;15.5
Female;French;15.4;32;12.35
Male;English;7;71;15.5
Male;English;8;70;15.5
Female;English;15;38;16.32
Female;French;5;75;15.5
Female;English;11.5;53;19.2
Female;Other;14;32;15.5
Male;English;11.4;19;15.5
Male;English;15;40;15.5
Male;English;12.5;23;15.5
Male;English;10;58;13.23
Female;French;10;60;15.5
Male;English;15;32;21.43
Female;English;13.1;51;15.5
Male;English;9;34;16.25
Male;English;9;18;15.5
Female;English;16;29;8
Female;English;11.6;19;7.49
Female;English;9;16;15.5
Female;English;10.5;75;15.5
Male;Other;13;33;15.5
Female;English;15.5;20;6
Male;English;16.1;25;15.5
Female;English;11;39;21
Female;English;13.8;37;12.03
Female;English;13.4;37;10
Male;English;12.5;38;19.68
Male;English;11.3;45;10
Male;English;12;50;15.5
Female;English;17;28;13.75
Male;English;11;23;8.97
Male;English;17;42;15.5
Male;French;8;84;15.5
Female;English;14.3;46;14.5
Male;English;8;62;9.48
Female;English;13;52;15.5
Female;English;13;40;9.2
Female;English;15;30;14.52
Female;English;15;43;15.5
Female;English;12.5;80;15.5
Female;English;14;58;15.5
Male;English;9;53;15.5
Female;English;12.5;72;15.5
Female;English;11;62;15.5
Female;English;11.5;32;15.5
Male;English;12;43;15.5
Female;Other;17;22;15.5
Male;English;12.5;47;16.68
Female;English;11;89;15.5
Female;Other;13.2;20;10.07
Male;English;8;78;15.5
Female;English;10;26;7.97
Male;English;8;73;15.5
Female;English;15;47;17.77
Female;English;12.5;79;15.5
Male;English;16.2;39;15.36
Female;English;7;63;15.5
Male;English;17.5;24;10
Male;English;10;18;6.6
Female;English;12;76;15.5
Female;English;9.8;17;7.73
Male;English;13;80;15.5
Male;English;9;32;14.8
Female;English;11;29;15.5
Female;Other;14.5;41;9.33
Female;English;17;51;10.35
Male;English;11;17;15.5
Female;English;12.5;21;11.43
Male;English;15.8;30;15
Female;English;9;70;15.5
Female;Other;14.5;24;10.46
Female;English;17;26;22.04
Female;English;12;69;15.5
Female;English;15;25;11
Female;English;15;32;17
Male;English;13.5;26;15.5
Female;Other;12;48;15.5
Female;Other;12;53;15.5
Male;English;12.8;36;19
Male;English;12.5;38;15
Male;French;4;71;15.5
Female;English;12;39;12.65
Male;English;15;32;10.56
Male;English;11;22;13
Male;English;14;21;6
Female;Other;14.3;26;7.88
Male;English;17;33;12.94
Male;English;16;47;15.78
Male;English;11.3;29;15.5
Female;English;20;43;15.5
Male;English;15.8;53;18.96
Female;French;6;78;15.5
Male;English;11;31;12.13
Male;English;18;70;15.5
Female;English;10;16;15.5
Male;English;14.5;23;15.5
Male;Other;8;57;15.5
Male;English;13;72;15.5
Female;English;8;60;15.5
Male;Other;14;77;15.5
Female;English;4;66;15.5
Female;English;12;51;15.5
Male;English;13;28;14.62
